------------------------------------
|   time   |  dep  |  arr  | total |
------------------------------------
| 00:00:00 |      0|      0|      0|
| 00:16:40 |      1|      0|      1|
| 00:33:20 |      1|      0|      1|
| 00:50:00 |      0|      1|      1|
| 01:06:40 |      0|      1|      1|
| 01:23:20 |      9|      1|     10|
| 01:40:00 |     19|      1|     20|
| 01:56:40 |     13|      2|     15|
| 02:13:20 |      5|      1|      6|
| 02:30:00 |      1|      1|      2|
| 02:46:40 |      0|      1|      1|
| 03:03:20 |      1|      3|      4|
| 03:20:00 |      1|     11|     12|
| 03:36:40 |      0|     15|     15|
| 03:53:20 |      1|     16|     17|
| 04:10:00 |      3|     11|     14|
| 04:26:40 |      2|      7|      9|
| 04:43:20 |      4|      8|     12|
| 05:00:00 |     12|      7|     19|
| 05:16:40 |     24|     10|     34|
| 05:33:20 |     39|     18|     57|
| 05:50:00 |     22|     22|     44|
| 06:06:40 |      9|     21|     30|
| 06:23:20 |     13|     22|     35|
| 06:40:00 |     15|     26|     41|
| 06:56:40 |     16|     29|     45|
| 07:13:20 |     13|     34|     47|
| 07:30:00 |     16|     25|     41|
| 07:46:40 |     27|     20|     47|
| 08:03:20 |     36|     21|     57|
| 08:20:00 |     31|     18|     49|
| 08:36:40 |     35|     13|     48|
| 08:53:20 |     34|     19|     53|
| 09:10:00 |     26|     17|     43|
| 09:26:40 |     20|     25|     45|
| 09:43:20 |     20|     29|     49|
| 10:00:00 |     19|     28|     47|
| 10:16:40 |     15|     23|     38|
| 10:33:20 |     23|     13|     36|
| 10:50:00 |     31|      8|     39|
| 11:06:40 |     22|     11|     33|
| 11:23:20 |     33|     11|     44|
| 11:40:00 |     34|     12|     46|
| 11:56:40 |     30|     14|     44|
| 12:13:20 |     21|     22|     43|
| 12:30:00 |     14|     27|     41|
| 12:46:40 |      9|     24|     33|
| 13:03:20 |     10|     21|     31|
| 13:20:00 |     13|     16|     29|
| 13:36:40 |     26|     15|     41|
| 13:53:20 |     29|     11|     40|
| 14:10:00 |     31|      9|     40|
| 14:26:40 |     27|     11|     38|
| 14:43:20 |     20|     14|     34|
| 15:00:00 |     12|     21|     33|
| 15:16:40 |      8|     28|     36|
| 15:33:20 |      9|     24|     33|
| 15:50:00 |     15|     23|     38|
| 16:06:40 |     16|     20|     36|
| 16:23:20 |     18|     14|     32|
| 16:40:00 |     23|     15|     38|
| 16:56:40 |     25|     23|     48|
| 17:13:20 |     19|     23|     42|
| 17:30:00 |     24|     24|     48|
| 17:46:40 |     25|     28|     53|
| 18:03:20 |     23|     23|     46|
| 18:20:00 |     16|     11|     27|
| 18:36:40 |     28|     13|     41|
| 18:53:20 |     24|     17|     41|
| 19:10:00 |     24|     14|     38|
| 19:26:40 |     19|     11|     30|
| 19:43:20 |     15|     18|     33|
| 20:00:00 |     13|     22|     35|
| 20:16:40 |      5|     15|     20|
| 20:33:20 |      3|      7|     10|
| 20:50:00 |      2|      8|     10|
| 21:06:40 |      1|     15|     16|
| 21:23:20 |     10|     14|     24|
| 21:40:00 |      7|     10|     17|
| 21:56:40 |      3|      3|      6|
| 22:13:20 |      3|      2|      5|
| 22:30:00 |      3|      1|      4|
| 22:46:40 |      4|      1|      5|
| 23:03:20 |      6|      2|      8|
| 23:20:00 |     16|      1|     17|
| 23:36:40 |     12|      1|     13|
