[Terminal 1]
-541 568
-552 528
-549 490
-533 453
-510 428
-474 408
-428 401
-392 410
-356 433
-331 469
-320 508
-325 548
-344 586
-375 614
-407 628
-446 632
-486 621
-519 597
[Terminal 1T]
-249 453
-271 409
-224 370
-188 444
[Terminal 1U]
-250 590
-236 542
-175 543
-198 623
[Terminal 1V]
-339 705
-299 676
-252 714
-319 763
[Terminal 1W]
-481 726
-431 730
-421 790
-504 783
[Terminal 1X]
-603 645
-569 681
-601 733
-658 673
[Terminal 1Y]
-639 512
-636 562
-694 580
-699 497
[Terminal 1Z]
-580 380
-608 420
-665 399
-618 331
[Terminal 2A]
1180 -728
1142 -750
1112 -762
1068 -771
1032 -773
989 -766
947 -751
923 -808
975 -826
1026 -833
1076 -833
1126 -822
1169 -805
1213 -781
[Terminal 2B]
931 -654
969 -631
999 -619
1043 -609
1079 -607
1122 -613
1164 -628
1188 -571
1136 -553
1084 -546
1035 -547
985 -559
941 -576
898 -601
[Terminal 2C]
1558 -679
1520 -702
1491 -715
1447 -725
1411 -729
1368 -723
1325 -710
1303 -768
1356 -784
1407 -790
1457 -788
1506 -775
1549 -756
1592 -731
[Terminal 2D]
1308 -617
1346 -594
1376 -583
1419 -573
1455 -571
1498 -577
1541 -591
1564 -534
1512 -517
1461 -510
1411 -511
1361 -522
1318 -540
1274 -564
[Terminal 2E]
2354 -622
2285 -649
2232 -664
2155 -679
2091 -685
2018 -683
1944 -673
1933 -737
2000 -749
2065 -751
2079 -845
2267 -825
2258 -724
2326 -704
2382 -679
[Terminal 2E]
1922 -925
1971 -911
2067 -888
2167 -875
2275 -864
2380 -861
2528 -869
2529 -832
2381 -822
2270 -825
2166 -834
2059 -847
1955 -871
1907 -884
[Terminal 2F]
1941 -616
2003 -578
2052 -559
2124 -544
2183 -540
2256 -545
2342 -568
2371 -488
2307 -467
2305 -333
2291 -299
2265 -299
2248 -327
2230 -457
2127 -457
2034 -478
1965 -339
1939 -319
1919 -331
1919 -362
1960 -505
1891 -546
[Terminal 2G]
4146 -489
4143 -455
4026 -464
4015 -419
3926 -442
3913 -425
3840 -490
3857 -512
[Terminal S3]
2718 -977
2783 -970
2718 -222
2648 -227
[DOCK CARGO]
-365 -1049
-367 -996
-592 -1005
-589 -1057
[FRET]
-639 -1044
-643 -944
-1077 -959
-1072 -1061
[FRET 4]
-1211 -1928
-1311 -1936
-1274 -2272
-1173 -2262
